id,tweet_id,text,screen_name,author_id
1,1512177988921708546,@DjquestBw Hokotsa expectations,oxy_mak,317081936
2,1512177972660383746,RT @HeheWaitWhut: Fentanyl discourse nothing new https://t.co/1AFDRFMPTK,thelonelydalek,2564834747
3,1512177883858538505,"@ejpdunphy @KaysGramma @RandyWilliams09 @RexChapman I agree. Before CRPS, I had 3 head surgeries and radiation for Cushings Disease. I also had a body lift to remove scar tissue from Cushings and each procedure I received 500mg Hydrocodone. Teens and adults with injuries should never have been given Oxy unless absolutely warranted",YouFilthyScrub,1469040915612413962
4,1512177863465779201,"RT @lflorepolitics: Stephanie Grisham on #TheView spewing Republican talking points about the border, illegal immigrants, fentanyl,etc. “It…",LeighJo46,1325125646666792968
5,1512177852204081156,RT @PChaibriant: @jjohana mais c'est pour faire ça qu'ils ont été payés ! Macron leur a demandé de booster les ventes de vaccin donc ils on…,jc_balles,1310849079107354624
6,1512177840992706564,"Fentanyl is highly-addictive, found in all 50 states, and is driving the nationwide overdose epidemic.

The Drug Enforcement Administration (DEA) Warns of Increase in Mass-Overdose Events Involving Deadly Fentanyl

https://t.co/xb2S8MTvEc",MinnehahaCounty,2959964280
7,1512177819123597319,"RT @MarshaBlackburn: While Biden fails to secure the border, China is busy sending chemicals to Mexican cartels who make and ship fentanyl…",fireunit8,2245038895
8,1512177798965825547,Tune into ABC affiliate KATV News Channel 7 in #LittleRock #Arkansas tonight to hear Assistant Chief of DEA in #Arkansas Jarad Harper warn the public about an increase in mass overdoses involving #fentanyl - visit https://t.co/oxljd12CpE for press release &amp; public safety alert. https://t.co/epzD3uHm8c,DEANEWORLEANS,785992481418600448
9,1512177785053356037,"RT @DylanBaddour: https://t.co/igFiGDttR4

https://t.co/o85lZ0Xk5S

https://t.co/ImlPXIuuDc

https://t.co/PVlPXnzvBt",treesey,21261686
10,1512177784260603906,"@wellroundednut omg so i have heard, nothing but alcoholics and fentanyl heads right?  and super shitty weather, and everyone is rude",kevismson,101621770
11,1512177747967229965,"@OleDraggy @GelbartMarkus @catek72 @benphillips76 Obviously your not going to get anyone to admit anything like that, look at whats happened with the whole oxy mess. Its all profit driven and all the studies are '"mixed or hung up'" no solid answer either way. That way no-one is liable.",Nunya82310724,1349388050737016834
12,1512177734453276684,"RT @RepMcCaul: Last year, enough Fentanyl was seized at our border to kill every American seven times over. Now, the DEA expects a nationwi…",rockboxer85,1368736488838545412
13,1512177686894026752,"@dixontyler90 Marijuana and sports betting is different than bourbon, oxycontin, and betting on horses… come on Tyler. 🙄 lol",ukcats21,38796107
14,1512177594807975944,"Since February 2021, 14 teenagers have died in our county from Fentanyl overdoses.  We want to encourage you to have a conversation with your teen about the dangers of drugs. https://t.co/BGnUl2bz34",HesperiaPolice,32477835
15,1512177576306900997,"A team of SF Chronicle reporters produced a year-long look at the fentanyl crisis in San Francisco. I talked to @TrishaThadani and @stephenlamphoto about their riveting project '"A Disaster in Plain Sight'" 
https://t.co/DHSchzB0bR",laliferis,272070001
16,1512177558225256472,"RT @CARebelBase: Politicians in California obsessed over COVID for two years, all while ignoring the dark reality of California''s fentanyl…",PriscillaOLopez,886426379922808833
17,1512177546191798274,RT @SBCSDeperez: Opioid use &amp; overdose cases are on the rise. Spread the word &amp; help save a life by sharing this flyer. Proactive conversat…,scott4rancho,1035735265258528769
18,1512177541032947713,"WATCH: @americananymen sing about addiction in their '"Fentanyl Death Kiss'" music video via @jammerzine full-length album ''Cities Changing Names'' out June 10, 2022 https://t.co/Iog9RIu64P",EclipseRecords,30039805
19,1512177431225982978,"RT @traderstewie: $OXY ... a beautiful coiling pattern on the 20 day MA here. 

Looks about ready to pop higher. 

First Targets: $63 to $6…",piolacci,857529059722579970
20,1512177405498204164,"RT @jeffco_bullpen: Baseball is back in action and so are the Vikes…

🆚Webster JV
⏰7:00 pm
📍GCS Ballprk https://t.co/VmYWW8HHb7",LiveStreamSTL,1054733419085787137
21,1512177375915638784,"RT @latimes: Buena Park police officers recovered 20.5 pounds of fentanyl pills from inside a minivan, authorities said, '"enough to kill 4.…",CaliTenkey,2520327521
22,1512177317883355141,"@robcamacho @ananavarro Highest inflation in history with no end in sight, highest border crossings and fentanyl in history, loss of oil independence, ISIS the “Jv players” killing tens of thousands, war with Russia, higher Covid deaths in 2021, Afghanistan withdrawal catastrophe….cognitive dissonance",hmblnation,940750162686857217
23,1512177280746881026,"RT @fox12oregon: 2 men arrested with enough fentanyl to kill 4.7 million people, officials say

https://t.co/vcNO0DIugH",kokobyrd,117507629
24,1512177257854369817,"personally, I remember them asking if I wanted fentanyl and me thinking what the fuck is wrong with you people",midheavenmama,1483862970551570434
